fips,start,end,aet,cwd
31153,2012,2016,485.4541966,581.2914724
21047,1950,1980,646.7735299,592.1834142
21047,1982,2011,667.0480307,554.3429215
21047,2007,2011,641.0965931,596.2470754
21047,2012,2016,678.8633667,522.4186668
8119,1950,1980,355.719021,711.5736819
8119,1982,2011,392.7888877,646.6007035
8119,2007,2011,351.3172766,685.7991735
8119,2012,2016,367.6581015,686.7745438
24025,1950,1980,584.4999343,502.2753465
24025,1982,2011,607.3201871,509.1109337
24025,2007,2011,639.7388753,477.5200738
24025,2012,2016,624.7239912,455.0403787
4011,1950,1980,231.0166827,1483.222012
4011,1982,2011,258.61495,1497.9326820000001
4011,2007,2011,232.8740382,1536.433656
4011,2012,2016,217.9927679,1552.881506
22049,1950,1980,732.0481018,740.3678787
22049,1982,2011,725.4853903,731.7692822
22049,2007,2011,693.1178964,783.0348192
22049,2012,2016,712.2581448,755.0737804
5019,1950,1980,661.2948553,738.9684659
5019,1982,2011,678.6324812,697.9377846
5019,2007,2011,664.8130601,713.0930129
5019,2012,2016,631.4397324,726.2556598
12075,1950,1980,847.2310013,701.6101929
12075,1982,2011,834.1008649,704.0488273
12075,2007,2011,783.2760714,755.4317108
12075,2012,2016,862.4323617,664.8191561
53049,1950,1980,458.6084307,370.5380772
53049,1982,2011,461.3908337,376.0532959
53049,2007,2011,463.0412733,348.1708167
53049,2012,2016,458.4141313,400.859149
38069,1950,1980,307.7369457,574.9827878
38069,1982,2011,338.1455784,537.7869434
38069,2007,2011,366.8185406,485.3659656
38069,2012,2016,349.31312,519.1020069
35049,1950,1980,263.0591287,1070.238187
35049,1982,2011,312.5442498,1025.139319
35049,2007,2011,273.4348893,1074.052588
35049,2012,2016,272.1726721,1086.12746
48415,1950,1980,397.0706981,1112.366223
48415,1982,2011,405.109532,1077.996432
48415,2007,2011,391.6266812,1107.568404
48415,2012,2016,385.4072988,1110.879158
51045,1950,1980,586.2461703,478.3444225
51045,1982,2011,590.7596595,465.2889448
